,age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y
2030,52,admin.,married,high.school,no,no,no,telephone,jul,tue,790,1,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,no
2031,43,admin.,divorced,university.degree,no,no,no,telephone,apr,fri,263,4,999,0,nonexistent,-1.8,93.749,-34.6,0.645,5008.7,yes
2032,34,admin.,single,high.school,no,no,no,cellular,may,fri,15,9,999,0,nonexistent,-1.8,92.893,-46.2,1.25,5099.1,no
2033,30,self-employed,married,professional.course,no,yes,no,cellular,may,tue,98,5,999,0,nonexistent,-1.8,92.893,-46.2,1.291,5099.1,no
2034,58,management,married,university.degree,unknown,yes,no,cellular,jul,mon,332,2,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
2035,60,admin.,married,university.degree,no,yes,no,cellular,jun,mon,324,3,3,1,success,-2.9,92.963,-40.8,1.266,5076.2,yes
2036,34,admin.,single,high.school,no,no,no,telephone,may,thu,63,3,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,no
2037,35,services,married,high.school,no,no,no,telephone,may,mon,159,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
2038,39,blue-collar,married,unknown,unknown,yes,no,cellular,apr,thu,307,1,999,0,nonexistent,-1.8,93.075,-47.1,1.41,5099.1,no
2039,45,blue-collar,married,basic.9y,no,yes,no,telephone,may,mon,365,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
2040,33,technician,divorced,professional.course,no,no,no,cellular,aug,mon,686,2,999,0,nonexistent,1.4,93.444,-36.1,4.97,5228.1,no
2041,36,blue-collar,married,basic.9y,no,yes,no,telephone,may,mon,75,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
2042,44,services,married,high.school,no,no,no,cellular,may,fri,263,1,999,1,failure,-1.8,92.893,-46.2,1.313,5099.1,no
2043,41,blue-collar,married,basic.9y,no,yes,no,cellular,apr,tue,272,1,999,0,nonexistent,-1.8,93.075,-47.1,1.453,5099.1,no
2044,42,blue-collar,divorced,high.school,no,no,yes,telephone,jun,thu,175,7,999,0,nonexistent,1.4,94.465,-41.8,4.866,5228.1,no
2045,31,blue-collar,single,university.degree,no,no,no,cellular,jul,fri,35,3,999,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1,no
2046,40,management,married,university.degree,unknown,yes,no,cellular,apr,mon,241,2,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,no
2047,42,technician,married,professional.course,no,yes,yes,telephone,nov,mon,215,3,999,0,nonexistent,-0.1,93.2,-42.0,4.191,5195.8,no
2048,40,blue-collar,married,basic.6y,no,yes,no,telephone,nov,thu,107,2,999,0,nonexistent,-0.1,93.2,-42.0,4.076,5195.8,no
2049,32,entrepreneur,married,high.school,no,yes,no,cellular,nov,wed,100,1,999,1,failure,-0.1,93.2,-42.0,4.12,5195.8,no
2050,31,admin.,married,university.degree,no,yes,no,cellular,aug,thu,96,5,999,0,nonexistent,1.4,93.444,-36.1,4.962,5228.1,no
2051,56,technician,married,professional.course,unknown,no,no,telephone,may,tue,37,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no
2052,64,retired,married,unknown,no,yes,no,cellular,jun,mon,294,3,999,0,nonexistent,-2.9,92.963,-40.8,1.26,5076.2,no
2053,46,blue-collar,divorced,basic.9y,no,no,no,cellular,may,wed,426,3,999,0,nonexistent,-1.8,92.893,-46.2,1.281,5099.1,no
2054,32,admin.,married,university.degree,no,no,no,telephone,may,thu,99,2,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,no
2055,28,admin.,married,high.school,no,no,no,telephone,may,tue,337,6,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no
2056,35,technician,single,professional.course,no,no,yes,cellular,aug,mon,50,1,999,0,nonexistent,1.4,93.444,-36.1,4.97,5228.1,no
2057,29,technician,single,professional.course,no,no,no,cellular,aug,fri,198,1,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,no
2058,32,services,married,professional.course,unknown,yes,no,cellular,aug,thu,160,7,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no
2059,45,self-employed,married,basic.6y,no,yes,no,cellular,aug,wed,100,1,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,no
2060,32,services,single,high.school,no,no,no,telephone,may,wed,380,4,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,no
2061,57,retired,married,university.degree,no,yes,yes,cellular,jul,mon,1062,4,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,yes
2062,43,technician,married,professional.course,no,no,no,telephone,may,wed,720,2,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no
2063,38,self-employed,single,university.degree,no,no,no,telephone,may,thu,238,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,no
2064,34,admin.,single,university.degree,no,yes,no,cellular,aug,tue,174,2,999,0,nonexistent,1.4,93.444,-36.1,4.968,5228.1,no
2065,57,retired,married,professional.course,no,yes,no,cellular,aug,wed,156,4,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,no
2066,44,unemployed,married,high.school,no,yes,no,cellular,aug,thu,143,1,3,1,success,-2.9,92.201,-31.4,0.873,5076.2,no
2067,29,self-employed,married,university.degree,no,no,no,cellular,may,tue,94,1,999,0,nonexistent,-1.8,92.893,-46.2,1.266,5099.1,no
2068,34,blue-collar,married,basic.9y,no,yes,no,telephone,may,tue,96,2,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no
2069,44,blue-collar,married,basic.4y,no,yes,yes,telephone,may,mon,123,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
2070,39,admin.,married,high.school,no,unknown,unknown,cellular,may,mon,99,2,999,2,failure,-1.8,92.893,-46.2,1.354,5099.1,no
2071,51,housemaid,divorced,high.school,no,yes,yes,cellular,jul,thu,137,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
2072,33,self-employed,married,university.degree,no,no,no,telephone,may,tue,367,5,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
2073,28,technician,single,university.degree,no,yes,no,cellular,jul,wed,115,2,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
2074,47,services,married,high.school,no,unknown,unknown,telephone,jun,wed,347,4,999,0,nonexistent,1.4,94.465,-41.8,4.962,5228.1,no
2075,52,blue-collar,single,basic.9y,unknown,yes,no,telephone,may,tue,202,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no
2076,34,technician,married,professional.course,no,yes,yes,cellular,sep,fri,120,1,6,3,success,-1.1,94.199,-37.5,0.883,4963.6,no
2077,30,technician,single,basic.9y,no,no,no,cellular,may,mon,63,1,999,0,nonexistent,-1.8,92.893,-46.2,1.299,5099.1,no
2078,52,housemaid,divorced,high.school,no,yes,no,cellular,aug,tue,140,3,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,no
2079,39,blue-collar,single,basic.6y,no,yes,no,cellular,may,tue,357,1,999,2,failure,-1.8,92.893,-46.2,1.291,5099.1,no
2080,31,blue-collar,married,basic.4y,no,yes,no,cellular,nov,thu,233,4,999,0,nonexistent,-0.1,93.2,-42.0,4.076,5195.8,no
2081,29,entrepreneur,single,university.degree,no,yes,no,telephone,jul,thu,167,11,999,0,nonexistent,1.4,93.918,-42.7,4.966,5228.1,no
2082,29,admin.,single,university.degree,no,no,no,cellular,may,mon,146,2,999,0,nonexistent,-1.8,92.893,-46.2,1.244,5099.1,no
2083,54,housemaid,married,basic.9y,no,no,no,cellular,nov,wed,362,3,999,0,nonexistent,-0.1,93.2,-42.0,4.12,5195.8,no
2084,35,admin.,married,university.degree,no,no,yes,telephone,may,wed,65,4,999,1,failure,-1.8,92.893,-46.2,1.281,5099.1,no
2085,55,services,married,basic.4y,no,yes,no,cellular,aug,wed,212,1,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,no
2086,25,admin.,single,high.school,no,no,no,cellular,jun,mon,95,1,999,0,nonexistent,-2.9,92.963,-40.8,1.26,5076.2,no
2087,57,services,married,high.school,unknown,no,no,telephone,may,mon,149,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
2088,27,admin.,single,university.degree,unknown,yes,no,cellular,jul,tue,72,1,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,no
2089,52,management,married,university.degree,no,yes,yes,cellular,nov,mon,98,1,999,0,nonexistent,-0.1,93.2,-42.0,4.191,5195.8,no
2090,33,admin.,single,high.school,no,no,no,cellular,may,tue,154,1,999,0,nonexistent,-1.8,92.893,-46.2,1.344,5099.1,no
2091,64,retired,married,basic.4y,no,unknown,unknown,telephone,aug,fri,245,3,999,0,nonexistent,-1.7,94.027,-38.3,0.905,4991.6,yes
2092,31,admin.,single,university.degree,no,yes,no,cellular,aug,wed,124,2,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,no
2093,57,blue-collar,married,basic.9y,no,yes,no,telephone,may,fri,248,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
2094,37,management,married,university.degree,no,no,yes,cellular,may,thu,123,1,999,0,nonexistent,-1.8,92.893,-46.2,1.266,5099.1,no
2095,29,technician,single,university.degree,no,yes,yes,telephone,jun,fri,1149,2,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,yes
2096,26,technician,single,professional.course,no,yes,no,cellular,jun,wed,80,1,999,0,nonexistent,-2.9,92.963,-40.8,1.26,5076.2,no
2097,42,blue-collar,married,basic.4y,no,yes,no,cellular,jul,mon,227,6,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,no
2098,33,admin.,single,university.degree,no,no,no,telephone,jun,mon,335,2,999,0,nonexistent,1.4,94.465,-41.8,4.865,5228.1,no
2099,34,technician,single,university.degree,no,no,no,cellular,jul,tue,117,3,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
2100,32,blue-collar,married,basic.4y,no,yes,no,cellular,may,fri,460,3,999,0,nonexistent,-1.8,92.893,-46.2,1.25,5099.1,no
2101,47,technician,married,professional.course,unknown,yes,no,cellular,jul,tue,362,2,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
2102,38,blue-collar,single,basic.9y,no,yes,no,telephone,jun,fri,38,6,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no
2103,29,admin.,single,high.school,no,yes,no,cellular,jul,mon,231,2,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,no
2104,37,technician,married,professional.course,no,yes,no,telephone,may,tue,657,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no
2105,39,blue-collar,married,basic.9y,no,yes,no,cellular,apr,thu,253,1,999,0,nonexistent,-1.8,93.075,-47.1,1.483,5099.1,no
2106,27,admin.,single,university.degree,no,yes,no,cellular,mar,wed,210,1,6,2,success,-1.8,93.369,-34.8,0.634,5008.7,yes
2107,25,admin.,single,high.school,no,no,no,cellular,jul,wed,55,2,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,no
2108,38,blue-collar,single,basic.4y,no,no,no,telephone,jun,tue,123,1,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,no
2109,43,technician,married,university.degree,unknown,no,no,telephone,may,thu,84,2,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,no
2110,31,self-employed,married,basic.4y,unknown,yes,no,cellular,aug,thu,63,1,999,0,nonexistent,1.4,93.444,-36.1,4.968,5228.1,no
2111,54,housemaid,married,university.degree,no,no,no,cellular,aug,wed,77,3,999,0,nonexistent,-2.9,92.201,-31.4,0.879,5076.2,no
2112,43,admin.,divorced,high.school,no,yes,no,cellular,jul,mon,329,2,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
2113,27,admin.,single,university.degree,no,yes,no,telephone,may,mon,182,2,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,no
2114,48,management,married,university.degree,no,no,no,telephone,may,fri,75,1,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,no
2115,33,services,single,high.school,no,yes,no,cellular,apr,fri,73,2,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,no
2116,41,admin.,married,unknown,no,yes,no,cellular,sep,thu,228,1,999,1,failure,-1.1,94.199,-37.5,0.879,4963.6,no
2117,56,management,married,basic.4y,unknown,yes,no,cellular,jul,tue,122,1,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,no
2118,44,technician,divorced,professional.course,no,no,yes,telephone,jul,mon,107,3,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
2119,49,technician,divorced,unknown,no,yes,no,cellular,oct,thu,168,1,4,1,success,-3.4,92.431,-26.9,0.754,5017.5,no
2120,24,blue-collar,single,unknown,no,yes,no,cellular,may,thu,487,2,999,0,nonexistent,-1.8,92.893,-46.2,1.266,5099.1,no
2121,36,services,married,high.school,no,no,no,cellular,nov,mon,86,2,999,0,nonexistent,-0.1,93.2,-42.0,4.191,5195.8,no
2122,29,admin.,married,university.degree,no,yes,no,cellular,jul,thu,51,1,999,0,nonexistent,1.4,93.918,-42.7,4.958,5228.1,no
2123,30,entrepreneur,single,university.degree,no,no,no,cellular,nov,thu,251,1,999,0,nonexistent,-0.1,93.2,-42.0,4.076,5195.8,no
2124,52,entrepreneur,married,basic.9y,unknown,no,no,telephone,may,wed,267,4,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
2125,31,management,married,high.school,no,no,no,telephone,may,wed,217,1,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,no
2126,48,blue-collar,married,basic.4y,no,yes,no,telephone,jul,tue,563,1,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,no
2127,36,admin.,married,university.degree,no,yes,yes,cellular,sep,tue,28,2,999,0,nonexistent,-3.4,92.379,-29.8,0.819,5017.5,no
2128,53,blue-collar,divorced,basic.4y,unknown,yes,no,telephone,may,fri,385,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
2129,53,unemployed,single,basic.9y,no,no,no,cellular,nov,fri,125,2,999,0,nonexistent,-0.1,93.2,-42.0,4.021,5195.8,no
2130,28,admin.,married,high.school,no,yes,no,cellular,may,wed,1073,1,999,0,nonexistent,-1.8,92.893,-46.2,1.281,5099.1,yes
2131,31,technician,single,high.school,no,yes,no,cellular,aug,thu,92,3,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no
2132,51,blue-collar,married,basic.4y,unknown,yes,no,cellular,jul,thu,118,2,999,0,nonexistent,1.4,93.918,-42.7,4.958,5228.1,no
2133,37,admin.,married,university.degree,unknown,no,no,cellular,jul,mon,332,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
2134,39,management,single,university.degree,no,yes,no,cellular,nov,fri,239,2,3,2,success,-3.4,92.649,-30.1,0.714,5017.5,yes
2135,50,admin.,married,university.degree,no,yes,no,telephone,jun,tue,199,3,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,no
2136,49,housemaid,married,basic.4y,unknown,yes,no,telephone,may,wed,158,10,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
2137,38,management,divorced,university.degree,no,yes,no,cellular,aug,tue,345,2,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,no
2138,37,management,married,university.degree,no,yes,no,cellular,aug,tue,263,2,999,0,nonexistent,1.4,93.444,-36.1,4.968,5228.1,no
2139,33,admin.,single,university.degree,no,yes,no,cellular,may,wed,194,2,999,0,nonexistent,-1.8,92.893,-46.2,1.334,5099.1,no
2140,40,admin.,married,university.degree,no,no,no,cellular,aug,mon,23,12,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,no
2141,52,services,married,unknown,unknown,no,no,telephone,may,tue,144,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no
2142,35,blue-collar,married,basic.9y,unknown,yes,no,cellular,nov,thu,198,2,999,0,nonexistent,-0.1,93.2,-42.0,4.076,5195.8,no
2143,32,blue-collar,married,basic.9y,no,yes,yes,cellular,may,wed,230,1,999,0,nonexistent,-1.8,92.893,-46.2,1.334,5099.1,no
2144,45,technician,divorced,professional.course,no,yes,yes,cellular,nov,thu,705,1,999,0,nonexistent,-0.1,93.2,-42.0,4.076,5195.8,yes
2145,32,admin.,married,high.school,no,yes,no,telephone,jul,mon,19,1,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,no
2146,29,admin.,single,university.degree,no,yes,yes,cellular,aug,wed,153,3,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,no
2147,44,admin.,married,university.degree,no,yes,no,cellular,may,tue,203,2,999,0,nonexistent,-1.8,92.893,-46.2,1.344,5099.1,no
2148,38,entrepreneur,married,professional.course,no,yes,yes,cellular,apr,mon,278,2,999,1,failure,-1.8,93.075,-47.1,1.466,5099.1,no
2149,42,entrepreneur,married,university.degree,unknown,no,no,cellular,nov,tue,283,2,999,0,nonexistent,-0.1,93.2,-42.0,4.153,5195.8,no
2150,76,retired,married,university.degree,no,unknown,unknown,cellular,dec,thu,184,6,999,1,failure,-3.0,92.713,-33.0,0.712,5023.5,no
2151,47,services,married,high.school,no,yes,no,cellular,nov,tue,97,1,999,0,nonexistent,-0.1,93.2,-42.0,4.153,5195.8,no
2152,41,admin.,divorced,high.school,no,yes,no,telephone,jun,wed,199,1,999,0,nonexistent,1.4,94.465,-41.8,4.962,5228.1,no
2153,25,services,married,high.school,no,no,no,cellular,jul,tue,161,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
2154,41,admin.,divorced,high.school,no,yes,no,cellular,apr,fri,114,3,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,no
2155,57,self-employed,single,high.school,unknown,no,no,telephone,may,wed,139,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no
2156,31,technician,divorced,university.degree,no,yes,no,cellular,aug,fri,56,3,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no
2157,45,admin.,divorced,basic.6y,no,no,yes,telephone,jul,mon,296,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
2158,50,management,married,university.degree,no,yes,no,cellular,aug,mon,308,4,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,no
2159,27,technician,single,university.degree,no,no,yes,cellular,nov,wed,342,1,999,0,nonexistent,-3.4,92.649,-30.1,0.716,5017.5,yes
2160,33,admin.,divorced,high.school,no,no,no,telephone,nov,wed,50,4,999,0,nonexistent,-0.1,93.2,-42.0,4.12,5195.8,no
2161,39,blue-collar,married,basic.9y,no,no,no,telephone,nov,thu,281,2,999,1,failure,-0.1,93.2,-42.0,4.076,5195.8,no
2162,34,admin.,married,university.degree,unknown,yes,no,cellular,aug,tue,82,1,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,no
2163,29,admin.,married,high.school,no,yes,no,cellular,may,mon,767,2,999,0,nonexistent,-1.8,92.893,-46.2,1.244,5099.1,yes
2164,36,services,married,high.school,no,yes,no,telephone,jun,thu,394,2,999,0,nonexistent,1.4,94.465,-41.8,4.866,5228.1,no
2165,52,technician,married,basic.9y,no,yes,no,telephone,may,mon,1666,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
2166,34,management,married,university.degree,no,yes,no,cellular,apr,fri,416,1,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,no
2167,35,services,single,high.school,unknown,no,yes,telephone,jun,wed,328,1,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no
2168,50,management,single,university.degree,no,no,no,telephone,may,fri,81,6,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,no
2169,34,admin.,married,university.degree,no,no,no,telephone,nov,fri,205,3,999,1,failure,-0.1,93.2,-42.0,4.021,5195.8,no
2170,57,services,divorced,high.school,no,yes,no,telephone,may,wed,312,2,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,no
2171,55,retired,married,university.degree,no,no,no,cellular,jul,fri,659,2,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,no
2172,37,admin.,single,university.degree,no,yes,no,cellular,aug,thu,85,3,999,0,nonexistent,1.4,93.444,-36.1,4.962,5228.1,no
2173,34,blue-collar,single,high.school,no,yes,no,telephone,jun,tue,137,5,999,0,nonexistent,1.4,94.465,-41.8,4.958,5228.1,no
2174,30,blue-collar,married,high.school,no,yes,no,cellular,aug,fri,252,1,999,0,nonexistent,-2.9,92.201,-31.4,0.849,5076.2,yes
2175,42,self-employed,married,university.degree,no,yes,no,telephone,jul,thu,1088,14,999,0,nonexistent,1.4,93.918,-42.7,4.968,5228.1,yes
2176,30,management,married,university.degree,no,yes,no,telephone,jul,wed,90,2,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,no
2177,56,housemaid,married,basic.4y,no,yes,no,cellular,aug,wed,359,3,999,0,nonexistent,-2.9,92.201,-31.4,0.834,5076.2,no
2178,45,blue-collar,married,basic.9y,no,no,yes,cellular,aug,fri,234,1,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,no
2179,35,blue-collar,married,basic.6y,no,no,no,telephone,may,wed,342,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
2180,32,services,married,high.school,no,no,no,telephone,may,tue,162,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
2181,41,housemaid,married,basic.4y,unknown,yes,no,cellular,aug,thu,228,1,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,no
2182,24,unemployed,single,university.degree,no,no,yes,telephone,may,tue,121,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
2183,27,admin.,single,university.degree,no,yes,no,cellular,may,thu,97,1,999,1,failure,-1.8,92.893,-46.2,1.266,5099.1,no
2184,46,self-employed,married,basic.9y,unknown,yes,yes,cellular,aug,wed,102,3,999,0,nonexistent,1.4,93.444,-36.1,4.967,5228.1,no
2185,30,admin.,married,university.degree,no,unknown,unknown,cellular,mar,mon,291,3,8,1,success,-1.8,92.843,-50.0,1.629,5099.1,no
2186,32,blue-collar,married,basic.4y,unknown,no,no,cellular,jul,thu,360,17,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,no
2187,33,admin.,married,university.degree,no,yes,no,telephone,may,fri,576,1,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,no
2188,32,technician,married,university.degree,no,no,no,cellular,aug,fri,198,1,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,no
2189,41,housemaid,divorced,university.degree,no,no,no,cellular,nov,wed,105,2,999,1,failure,-0.1,93.2,-42.0,4.12,5195.8,no
2190,30,services,married,high.school,unknown,no,no,telephone,may,fri,205,2,999,0,nonexistent,1.1,93.994,-36.4,4.864,5191.0,no
2191,26,unknown,single,basic.9y,no,no,no,cellular,mar,tue,212,1,999,0,nonexistent,-1.8,92.843,-50.0,1.799,5099.1,no
2192,45,services,married,basic.9y,no,no,no,cellular,aug,mon,744,1,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,yes
2193,46,blue-collar,divorced,basic.6y,no,no,no,telephone,may,tue,183,9,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
2194,26,entrepreneur,married,professional.course,no,no,no,telephone,may,fri,75,10,999,2,failure,-1.8,92.893,-46.2,1.25,5099.1,no
2195,59,admin.,divorced,basic.4y,unknown,yes,yes,cellular,jul,mon,745,6,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,yes
2196,35,admin.,married,basic.9y,no,no,yes,telephone,jun,mon,271,3,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,no
2197,52,admin.,married,university.degree,no,yes,no,cellular,may,tue,556,2,999,0,nonexistent,-1.8,93.876,-40.0,0.668,5008.7,yes
2198,48,technician,married,professional.course,unknown,no,no,telephone,may,thu,142,7,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,no
2199,60,retired,married,professional.course,no,no,yes,cellular,oct,wed,170,2,999,1,failure,-1.1,94.601,-49.5,1.043,4963.6,no
2200,53,admin.,married,basic.4y,no,no,no,cellular,aug,fri,91,2,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,no
2201,30,admin.,married,high.school,no,yes,no,cellular,may,mon,169,1,999,0,nonexistent,-1.8,92.893,-46.2,1.244,5099.1,no
2202,26,technician,married,unknown,no,no,no,cellular,may,fri,264,2,999,0,nonexistent,-1.8,92.893,-46.2,1.25,5099.1,no
2203,39,technician,divorced,high.school,no,yes,no,cellular,may,fri,21,8,999,1,failure,-1.8,92.893,-46.2,1.25,5099.1,no
2204,35,technician,married,basic.6y,no,no,no,telephone,may,wed,104,2,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no
2205,35,technician,married,high.school,unknown,yes,no,cellular,jul,tue,740,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,yes
2206,28,technician,single,professional.course,no,yes,no,telephone,may,thu,760,2,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,no
2207,52,blue-collar,married,basic.9y,no,no,no,telephone,jun,fri,205,4,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no
2208,60,retired,married,high.school,unknown,yes,no,telephone,jul,fri,297,2,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
2209,36,management,single,university.degree,no,no,no,cellular,jul,wed,101,7,999,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1,no
2210,31,blue-collar,married,basic.9y,no,no,no,cellular,may,thu,134,2,999,0,nonexistent,-1.8,92.893,-46.2,1.266,5099.1,no
2211,57,management,married,university.degree,unknown,no,yes,telephone,may,fri,59,3,999,0,nonexistent,1.1,93.994,-36.4,4.864,5191.0,no
2212,60,admin.,married,university.degree,unknown,no,no,telephone,jun,tue,111,7,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,no
2213,83,retired,divorced,basic.4y,no,no,yes,cellular,jun,fri,472,2,999,0,nonexistent,-1.7,94.055,-39.8,0.748,4991.6,yes
2214,57,retired,married,professional.course,unknown,yes,no,cellular,aug,tue,155,1,999,0,nonexistent,1.4,93.444,-36.1,4.968,5228.1,no
2215,53,admin.,married,professional.course,no,yes,no,telephone,may,tue,233,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
2216,25,services,married,high.school,no,unknown,unknown,cellular,jul,tue,160,2,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
2217,54,management,married,university.degree,no,yes,no,cellular,jul,wed,113,2,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
2218,30,technician,single,professional.course,no,yes,no,cellular,aug,mon,244,2,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no
2219,34,admin.,single,university.degree,no,yes,no,cellular,apr,tue,145,1,999,0,nonexistent,-1.8,93.075,-47.1,1.423,5099.1,no
2220,45,blue-collar,married,basic.9y,unknown,yes,no,telephone,may,wed,142,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no
2221,47,housemaid,married,basic.4y,no,no,no,cellular,apr,tue,645,2,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,no
2222,31,housemaid,married,professional.course,no,yes,no,telephone,jun,wed,36,1,999,0,nonexistent,1.4,94.465,-41.8,4.962,5228.1,no
2223,41,admin.,single,university.degree,no,yes,no,cellular,apr,mon,279,1,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,no
2224,34,admin.,married,university.degree,no,yes,no,telephone,jun,mon,14,14,999,0,nonexistent,1.4,94.465,-41.8,4.96,5228.1,no
